school_id,year,practices_blended_learning,practices_competency_education,practices_design_marginalized,practices_staffing_infrastructure,practices_learner_agency,practices_expanded_success,practices_a_la_carte,practices_enriched_virtual,practices_opportunities_mastery,practices_advancement_mastery,practices_performance_assessment,practices_grading_mastery,practices_assessment_schedule,practices_competency_framework,practices_equity_plan,practices_rigorous_coursework,practices_graduation_supports,practices_ell_supports,practices_flexible_staffing,practices_flexible_facilities,practices_flexible_schedule,practices_real_time_data,practices_quality_materials,practices_multi_age,practices_interoperability,practices_student_goals,practices_student_pace,practices_learning_paths,practices_student_data,practices_interdisciplinary,practices_real_world,practices_measures_college,practices_assessments_deeper,practices_measures_purpose,practices_assessments_sel,practices_measures_climate,practices_hiring_practices,practices_relevant_learning,practices_information_formats,practices_accommodations,practices_data_instruction,practices_adaptive_content,practices_mentoring,practices_expanded_open_hours,practices_experiential,practices_maker,practices_pbl,practices_sel,practices_udl,practices_reallocation_resources,practices_design_margins,practices_restorative,practices_culturally_responsive,"practices_elimination_tracking
",practices_poverty_supports,practices_immigrants_supports,practices_oer,practices_devices_home,practices_learner_profiles,practices_projects_primary,practices_student_projects,practices_career_prep,practices_service_learning,practices_place_based,practices_local_global,practices_design_thinking,practices_community_partnerships,practices_makerspace,practices_assessments_career,practices_sel_plan,practices_sel_integrated,practices_advisories,practices_ways_mastery,practices_mental_health,practices_physical_well_being,practices_community_supports,practices_station_rotation,practices_student_conferences,practices_circles,practices_flipped_classroom,practices_lab_rotation,practices_flex,practices_extended_learning,practices_sel_curriculum,practices_wraparound,practices_individual_rotation,"practices_teachers_leaders
",practices_fully_in_person,practices_hybrid,practices_remote_accommodations,practices_family_learning,practices_digital_materials,practices_families_choose_modality,practices_synchronous_online,practices_print_materials,practices_anti_racist,practices_trauma_informed,practices_social_justice,practices_portfolios_exhibitions,practices_asynchronous_online,practices_virtual_enrichment,practices_meet_professionals,practices_rotating_schedule,practices_hiring_equity,"practices_families_leaders
",practices_dual_credit,practices_early_college,practices_tutoring,practices_fully_remote,practices_peer_to_peer,practices_industry_credentials,practices_alternating_days,practices_teachers_choose_modality,practices_dual_language,practices_alternating_weeks,practices_half_days,practices_mtss_academics,practices_disaggregated_participation_data,"practices_students_leaders
",practices_virtual_pathway,practices_adult_wellness,"practices_all_courses_designed_for_inclusion
","practices_co_leaders
","practices_community_leaders
",practices_assessments_agency,practices_other_leaders,"practices_heritage_language
",practices_assessments_bilingual,practices_translanguaging,"practices_industry_leaders
"
586,2022,0,0,1,,,0,0,0,0,0,0,0,,0,,,,,0,0,,0,,0,,0,0,0,0,0,0,,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,0,0,,,,,,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,,0,,,,,,,,,,,
79,2022,1,0,1,,,1,0,0,1,1,1,1,,1,,,,,1,0,,0,,1,,1,1,1,1,0,1,,1,,1,,,,,1,,0,0,0,,,0,0,0,1,,1-2 years,1,1,,,,,1,0,1,1,0,0,,0,0,0,1,,1-2 years,1,0,1,0,0,0,1,0,0,,0,0,1,,,1,0,0,0,0,0,0,0,,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,,,0,0,,1,,1,,,,,,,,,,,
81,2022,1,0,3-4 years,,,0,0,0,0,0,0,0,,0,,,,,1,1,,0,,0,1,0,0,0,1,1,1,,1,,1,,,,,3-4 years,,1,1,1,,,0,0,1,1,,1,1,,,,,,1,0,1,0,0,0,,1,1,1,,,1-2 years,0,0,1,0,1,1,0,0,1,,0,0,0,,1,1,0,0,0,0,0,0,0,,1,1,3-4 years,1,0,0,0,0,0,0,0,0,1,0,1,0,,,0,0,,1,1,0,,,,,,,,,,,
83,2022,1,0,0,,,1,0,0,0,1,0,1,,1-2 years,,,,,1,1,,0,,1,1,1,1,1,1,0,0,,1,,1,,,,,0,,0,0,0,,,0,0,0,0,,1,1,,,,,,1,0,0,0,0,0,,0,0,1,,,1,1,0,0,0,0,1,1,0,0,,1-2 years,0,3-4 years,,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,1-2 years,1-2 years,1,0,1,0,,,0,0,,0,1,0,,,,,,,,,,,
622,2022,0,1,0,,,1,0,0,1,1,1,1,,1,,,,,1,1,,0,,1,,1,1,1,1,1,0,,1,,0,,,,,1,,0,0,1,,,0,0,0,1,,0,0,,,,,,1,0,0,0,0,0,,0,0,0,1,,0,0,0,0,1,1,1,0,0,0,,0,0,0,,,1,0,0,0,0,0,0,0,,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,,,0,0,,1,,1,,,,,,,,,,,
84,2022,0,0,0,,,0,0,0,1,1,1,1,,1,,,,,1,1,,0,,1,,1,1,1,0,1,0,,1,,1,,,,,0,,0,1,0,,,1,0,0,0,,0,1,,,,,,1,0,1,1,0,1,,1,0,1,1,,1,0,0,1,0,0,0,0,0,0,,0,1,0,,,1,0,0,0,0,0,0,0,,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,,,0,0,,1,,1,,,,,,,,,,,
85,2022,0,1,1,,,1,0,1,1,0,0,0,,1,,,,,0,0,,0,,1,,1,0,0,1,0,1,,1,,1,,,,,1,,1,1,0,,,1,0,1,1,,1,0,1,,,,,0,0,1,0,0,0,,1,1,0,,,0,1,0,0,1,1,1,1,0,1,,0,0,1,,,0,0,0,0,0,0,0,0,,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,,,0,0,,1,,0,,,,,,,,,,,
275,2022,1,0,1,,,0,0,0,3-4 years,0,1,Less than a year,,0,,,,,0,1,,0,,0,,1,0,1,0,3-4 years,1,,0,,0,,,,,0,,0,1,0,,,1,0,0,0,,1,0,1,,,,,0,0,1,0,0,3-4 years,,1,0,0,,,0,1,0,0,1,1,1,0,0,1,,0,3-4 years,0,,,1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,,,0,0,,0,1,1,,,,,,,,,,,
276,2022,0,3-4 years,1,,,0,0,0,1,1,1,1,,1,,,,,0,1,,0,,0,,1,0,1,0,1,1,,1,,1,,,,,0,,0,1,1,,,0,0,0,1,,0,1,,,,,,0,0,1,1,0,0,,0,1,1,,,1,1,0,1,1,0,0,1,0,0,,1,1,0,,,0,0,0,0,0,0,0,0,,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,,,0,0,,0,,0,,,,,,,,,,,
417,2022,0,1,0,,,0,0,0,0,0,0,3-4 years,,1,,,,,1,1,,0,,0,,1,0,0,1-2 years,0,0,,0,,0,,,,,0,,0,0,0,,,1,0,0,1,,1,1,,,,,,0,0,0,0,0,0,,1,0,0,,,1-2 years,0,0,1,0,1,0,1,0,0,,1,0,0,,,1,0,1,0,0,0,0,0,,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,,,0,0,,0,1,0,,,,,,,,,,,
421,2022,1,0,1,,,1,0,1,1,0,1,1,,1,,,,,1,1,,0,,0,1,1,1,1,1,0,1,,1,,1,,,,,3-4 years,,1,1,1-2 years,,,0,0,0,1,,3-4 years,3-4 years,,,,,,0,0,1,1,0,0,,0,0,0,1,,1,1,0,0,1,1,1,0,0,1,,1,1,0,,1,0,0,1,0,0,0,0,0,,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,,,0,0,,1,,0,,,,,,,,,,,
384,2022,1,1,1,,,0,1,0,1,0,0,0,,0,,,,,1,0,,0,,1,,0,1,0,0,0,0,,0,,0,,,,,1,,1,1,0,,,1,0,1,0,,0,0,,,,,,0,0,0,1,0,1,,0,1,0,1,,0,0,0,1,0,1,0,0,0,0,,1,0,0,,1,1,0,1,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,,,0,0,,1,,0,1,,,,,,,,,,
394,2022,1,1,1-2 years,,,0,0,0,0,0,0,0,,0,,,,,0,0,,0,,1,,0,0,0,0,0,0,,0,,1,,,,,0,,0,0,0,,,0,0,0,0,,1-2 years,0,,,,,,0,0,0,0,0,0,,1,1,1-2 years,,,0,0,0,1,0,0,0,1-2 years,0,0,,0,0,0,,,1,0,1,0,0,0,0,0,,0,3-4 years,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,1,1,,,,,,,,,,,
281,2022,1,1,1,,,1,1,1,1,1,1,1,,1,,,,,1,1,,0,,1,1,1,1,1,1,1,1,,1,,1,,,,,1,,1,1,0,,,1,0,1,0,,0,0,1,,,,,1,0,1,1,0,1,,1,1,1,1,,0,1,0,1,1,1,0,1,0,1,,0,1,1,,1,1,0,1,0,0,0,0,0,,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,,,1,0,,1,,1,,,,,,,,,,,
530,2022,0,1,1-2 years,,,0,0,0,1,1,1,3-4 years,,0,,,,,0,0,,0,,0,,1,1,0,1,1,0,,1,,0,,,,,1-2 years,,1,0,1,,,0,0,0,0,,0,0,1,,,,,0,0,0,0,0,0,,0,0,1,,,1,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,0,,0,,0,,,,,,,,,,,
94,2022,0,1,1,,,1,0,0,1,1,1,0,,0,,,,,1,1,,0,,0,,0,1,1,1,1,1,,1,,1,,,,,0,,1,1,0,,,1,0,0,1,,1,1,1,,,,,1,0,1,1,0,1,,0,0,0,1,,0,0,0,0,0,1,0,1,0,0,,0,1,0,,,1,0,0,0,0,0,0,0,,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,,,0,0,,0,,Less than a year,,,,,,,,,,,
559,2022,0,0,0,,,0,0,0,0,0,0,0,,0,,,,,1,1-2 years,,0,,0,,0,1,1,0,0,0,,1,,0,,,,,1,,0,1,0,,,0,0,0,0,,0,0,,,,,,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,0,3-4 years,0,0,0,0,,0,0,0,,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,0,,0,1,0,,,,,,,,,,,
97,2022,0,1,1,,,1,0,0,1,0,1,0,,1,,,,,0,0,,0,,1,1,0,1,0,1,1,0,,0,,0,,,,,1,,0,0,0,,,0,0,0,1,,0,0,,,,,,0,0,1,0,0,0,,0,0,0,,,1,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,1,0,0,0,0,0,,0,3-4 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,,0,,,,,,,,,,,
98,2022,1,1,0,,,0,0,1,1,1,0,3-4 years,,1,,,,,1,0,,0,,0,1,1,1,1,1,1,1,,1,,1,,,,,1,,1,1,1,,,1,0,1,0,,0,1,1,,,,,1,0,0,0,0,0,,1,1,0,,,1,1,0,1,0,1,1,0,0,1,,0,1,0,,,1,0,1,0,0,0,0,0,,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,,,0,0,,1,,1,,,,,,,,,,,
101,2022,1,0,3-4 years,,,1,0,0,1,0,1,1,,0,,,,,0,0,,0,,0,1,1,0,1,0,1,1,,1,,1,,,,,1,,1,1,0,,,3-4 years,0,1,1,,1,3-4 years,,,,,,1,0,1,0,0,0,,1,1,1,,,3-4 years,1,0,0,0,1,1,1,0,0,,0,0,1,,1,1,0,0,0,0,0,0,0,,1,1,1,1,0,0,0,0,3-4 years,1,0,0,0,0,0,0,,,0,0,,1,1,0,,,,,,,,,,,
235,2022,1,0,1,,,1,0,0,1,0,1,1,,1,,,,,0,0,,0,,0,,1,0,0,1,1,1,,1,,0,,,,,1,,0,0,0,,,0,0,1,0,,1,1,1,,,,,0,0,1,1,0,1,,0,1,0,1,,1,1,0,1,0,1,0,1,0,1,,0,1,0,,,0,0,1,0,0,0,0,0,,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,,,0,0,,0,,0,,,,,,,,,,,
292,2022,1,1,0,,,1,0,0,1,0,0,1,,0,,,,,1,0,,0,,0,,1,0,0,1,0,0,,0,,0,,,,,1,,1,1,0,,,0,0,0,0,,1-2 years,1,,,,,,0,0,0,1,0,0,,1,1,0,,,1,0,0,1,1,0,0,0,0,1,,1,1,0,,,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,,,0,0,,0,,0,,,,,,,,,,,
293,2022,1,1,1,,,1,0,0,1,1,1,1,,1,,,,,1,1,,0,,0,,1,1,1,0,0,0,,1,,1,,,,,1,,0,1,0,,,1,0,1,0,,1,1,1,,,,,1,0,0,1,0,1,,1,1,1,,,0,1,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,1,0,0,0,0,0,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,,0,0,,0,,1,,,,,,,,,,,
105,2022,0,0,0,,,0,1,1,0,0,0,0,,1,,,,,0,1,,0,,0,,3-4 years,0,1,1,0,1,,1,,1,,,,,3-4 years,,1,0,0,,,0,0,0,1,,0,0,,,,,,0,0,1,1,0,0,,0,1,1,1,,0,0,0,1,0,0,1,1,0,1,,1,0,1,,,0,0,1,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,,,0,0,,0,,0,,,,,,,,,,,
296,2022,1,0,0,,,1,0,1,1,1,1,1,,1,,,,,0,1,,0,,0,,1,1,0,1,1,3-4 years,,1,,1,,,,,1,,1,1,0,,,1,0,1,1,,1,1,,,,,,1,0,1,0,0,0,,0,1,0,,,3-4 years,1,0,3-4 years,1,1-2 years,1,1,0,1,,1,0,1,,1,1,0,1,0,0,0,0,0,,0,1-2 years,1,1,0,0,0,0,1,0,0,0,0,0,1,0,,,0,0,,1,,0,,,,,,,,,,,
418,2022,0,1,0,,,0,0,0,1,0,0,3-4 years,,0,,,,,1,0,,0,,0,,1,0,0,1,0,0,,1,,0,,,,,0,,0,0,0,,,0,0,0,0,,0,1-2 years,,,,,,0,0,0,0,0,0,,0,0,0,,,1,0,0,0,0,0,0,1,0,0,,1,0,0,,,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,,0,,,,,,,,,,,
528,2022,1,1,1,,,0,0,0,0,1,0,0,,1,,,,,1,0,,0,,1,,1,1,0,0,1,1,,1,,1,,,,,1,,1,1,0,,,1,0,0,0,,1,1,,,,,,0,0,0,0,0,0,,0,1,0,,,3-4 years,1,0,1,0,1,1,0,0,0,,1,0,1,,,1,0,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,1,1,0,0,3-4 years,0,1,0,,,0,0,,0,,0,,,,,,,,,,,
501,2022,1,1-2 years,0,,,0,1,0,1,1,1,1,,1,,,,,1,1-2 years,,0,,1,,0,1-2 years,1,1,1,1,,1,,1,,,,,1,,0,1,0,,,1-2 years,0,0,0,,0,0,1,,,,,0,0,1,0,0,1,,3-4 years,1,1,,,0,1,0,0,0,0,0,0,0,1,,1,0,0,,,1,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,,,0,0,,1,,1,,,,,,,,,,,
299,2022,1,1,1,,,1,0,0,1,0,1,1,,1,,,,,0,1,,0,,0,1,1,1,1,1,1,1,,1,,1,,,,,1,,1,0,0,,,0,0,0,1,,0,1,,,,,,1,0,1,1,0,0,,0,1,0,1,,0,1,0,1,0,0,0,1,0,0,,0,1,1,,,0,0,1,0,0,0,0,0,,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,,,0,0,,1,,0,,,,,,,,,,,
480,2022,0,1,1,,,1,0,0,1,0,0,0,,0,,,,,1,1,,0,,0,,1,1,1,Less than a year,0,0,,1,,1,,,,,0,,0,0,0,,,0,0,0,0,,1,1,,,,,,1,0,0,1,0,0,,0,0,0,,,0,0,0,0,0,1,0,1,0,1,,1,1,0,,,0,0,1,0,0,0,0,0,,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,,,0,0,,0,1,0,,,,,,,,,,,
608,2022,0,0,0,,,1,0,0,0,0,0,1,,0,,,,,1,1,,0,,0,,0,0,0,0,1,0,,1,,0,,,,,1,,0,0,0,,,0,0,0,0,,0,0,,,,,,0,0,0,0,0,0,,0,0,0,,,1,0,0,1,1,1,0,0,0,0,,0,1,0,,,1,0,0,0,0,0,0,0,,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,,,0,0,,1,,1,,,,,,,,,,,
445,2022,0,1-2 years,1,,,0,0,1,1,0,1,1,,1,,,,,1,1,,0,,0,,1,0,1,1,0,3-4 years,,1,,1,,,,,0,,0,1,1,,,3-4 years,0,0,1,,0,0,,,,,,0,0,0,1,0,0,,0,0,3-4 years,,,1,1,0,1,0,1,1,3-4 years,0,1,,0,0,0,,,0,0,1,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,,,0,0,,1,,0,1,,,,,,,,,,
502,2022,0,0,1,,,1,1,0,1,1,1,1,,1,,,,,0,1,,0,,1,,1,1,1,1,1,1,,1,,1,,,,,1,,1,1,0,,,1,0,1,1,,1,1,1,,,,,1,0,1,1,0,1,,1,0,1,1,,0,1,0,1,1,1,0,1,0,0,,0,1,1,,,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,,,0,0,,1,,1,,,,,,,,,,,
302,2022,1,0,1,,,1,0,0,1,1,0,1,,1,,,,,1,0,,0,,0,,1,1,1,1,1,1,,1,,1,,,,,1,,1,3-4 years,0,,,3-4 years,0,0,1,,1,1,,,,,,1,0,0,0,0,0,,1,1,0,,,1,1,0,1,1,1,1,0,0,0,,1,1,1,,1,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,,,0,0,,0,1,0,1,,,,,,,,,,
475,2022,1,1,1,,,0,1,0,1,0,0,0,,1,,,,,1,1,,0,,0,1,1,0,0,1,1,0,,1,,0,,,,,0,,1,0,1,,,0,0,1,1,,0,1,1,,,,,1,0,0,1,0,0,,0,1,0,,,0,0,0,1,0,1,0,0,0,0,,1,1,0,,,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,0,0,,1,1,0,,,,,,,,,,,
303,2022,1,0,1,,,1,0,1,1,0,1,0,,0,,,,,1,1,,0,,1,,1,1,1,1,1,1,,1,,1,,,,,1,,0,1,0,,,3-4 years,0,1,1,,3-4 years,3-4 years,1,,,,,1,0,1,1,0,1,,0,1,0,1,,1,1,0,1,1,1,1,1,0,0,,0,1,0,,,1,0,1,0,0,0,0,0,,1,1,1,3-4 years,0,0,0,0,1,1,1,0,1,0,0,3-4 years,,,1,0,,1,,1,,,,,,,,,,,
512,2022,0,0,0,,,1,0,0,1,0,0,0,,1,,,,,1,1,,0,,0,,0,1,1,0,1,0,,0,,1,,,,,0,,0,0,0,,,0,0,0,0,,0,0,,,,,,1,0,0,0,0,0,,1,0,1,,,0,0,0,0,0,0,0,0,0,0,,0,1,0,,,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,,0,0,,0,,1,,,,,,,,,,,
625,2022,0,1-2 years,1-2 years,,,1,0,0,1,0,0,1,,0,,,,,1,1,,0,,1,,1,0,1,0,1,1,,1,,1,,,,,1,,1,0,0,,,0,0,1,0,,1-2 years,1,,,,,,0,0,1,1,0,1,,0,1,0,1,,1,1,0,1,1,1-2 years,0,0,0,0,,0,1,0,,,1,0,0,0,0,0,0,0,,1,1-2 years,0,1,0,0,0,0,1,0,0,0,0,0,1,0,,,0,0,,1,,1,,,,,,,,,,,
119,2022,0,0,0,,,0,3-4 years,0,1,0,1,0,,0,,,,,0,0,,0,,1,,3-4 years,0,0,1,0,0,,1,,0,,,,,0,,0,0,0,,,1,0,0,1,,1,0,,,,,,0,0,1,1,0,0,,1,1,0,1,,0,0,0,1,1,0,0,0,0,0,,0,0,0,,,1,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,,,0,0,,0,,1,,,,,,,,,,,
120,2022,1,1,1,,,1,0,0,0,1,0,1,,0,,,,,1,0,,0,,1,,1,1,1,0,0,0,,1,,1,,,,,1,,0,1,0,,,1,0,0,1,,0,1,1,,,,,0,0,0,0,0,0,,0,0,0,,,0,0,0,1,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,,,0,0,,1,1,0,,,,,,,,,,,
122,2022,1,1,3-4 years,,,1,1,0,1,1,0,1,,1,,,,,1,3-4 years,,0,,1,1,1,3-4 years,1,1,1,0,,0,,1,,,,,1,,1,1,1,,,1,0,0,1,,1,1,1,,,,,1,0,1,1,0,1,,0,1,0,1,,0,1,0,1,1,1,0,0,0,0,,3-4 years,1,0,,,1,0,1,0,0,0,0,0,,0,3-4 years,0,1,0,0,0,0,1,0,1,0,1,0,0,0,,,0,0,,1,,0,,,,,,,,,,,
521,2022,1,1,0,,,0,1,0,0,0,1,0,,0,,,,,0,0,,0,,1,,1,0,0,0,0,0,,1,,0,,,,,0,,0,0,0,,,1,0,0,0,,1-2 years,0,,,,,,0,0,0,3-4 years,0,0,,0,3-4 years,0,,,0,0,0,1,0,0,0,0,0,1,,0,0,1,,,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,,,0,0,,1,1,0,,,,,,,,,,,
543,2022,0,0,1,,,0,1,0,1,0,1,0,,1,,,,,0,0,,0,,1,,1,0,0,1,1,1,,1,,1,,,,,1,,1,0,0,,,1,0,1,0,,3-4 years,1,1,,,,,1,0,1,1,0,0,,0,1,1,1,,1,1,0,1,0,0,0,1,0,1,,0,1,1,,,1,0,0,0,0,0,0,0,,0,1,3-4 years,1,0,0,0,0,1,0,1,1,0,0,0,0,,,0,0,,0,1,1,,,,,,,,,,,
132,2022,1,1,1,,,1,0,1,1,1,1,1-2 years,,0,,,,,0,1,,0,,0,1,1,0,1,1,1,1,,3-4 years,,1,,,,,1,,1,0,0,,,0,0,1,0,,1,1,1,,,,,1,0,1,1,0,0,,1,1,0,,,1,0,0,1,1,1,0,1,0,1,,0,1,0,,,1,0,1,0,0,0,0,0,,0,1-2 years,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,,0,0,,0,1,0,,,,,,,,,,,
91,2022,1,0,0,,,1,0,0,1,0,1,0,,0,,,,,1,1,,0,,0,,1,1,1,1,1,1,,1,,0,,,,,1,,0,1,1,,,1,0,1,0,,0,1,,,,,,1,0,1,0,0,0,,1,1,0,,,1,1,0,1,1,0,1,1,0,1,,0,1,1,,,0,0,0,0,0,0,0,0,,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,,,0,0,,1,1,0,,,,,,,,,,,
312,2022,1,0,1,,,0,0,1,1,0,1,0,,0,,,,,1,0,,0,,0,,1,1,0,1,1,1,,1,,1,,,,,1,,0,1,0,,,0,0,0,1,,0,1,,,,,,1,0,1,0,0,0,,1,1,0,1,,1,0,0,1,1,1,1,1,0,0,,0,1,1,,,1,0,1,0,0,0,0,0,,1,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,,,0,0,,1,1,1,,,,,,,,,,,
601,2022,0,0,0,,,0,0,0,0,0,1,0,,0,,,,,0,1,,0,,0,,0,0,0,0,0,3-4 years,,0,,1,,,,,0,,0,1,0,,,1,0,0,0,,3-4 years,0,1,,,,,0,0,1,1,0,1,,1-2 years,1,0,1,,1,1,0,3-4 years,1,1,0,0,0,0,,0,1,0,,,0,0,0,0,0,0,0,0,,0,3-4 years,1,1,0,0,0,0,0,0,1,0,1,0,1,1,,,0,0,,1,,0,,,,,,,,,,,
138,2022,0,1,1,,,0,0,0,1,1,0,0,,0,,,,,0,0,,0,,0,,0,0,0,0,0,0,,1,,1,,,,,0,,0,0,0,,,0,0,0,0,,1,1,,,,,,0,0,0,1,0,0,,1,0,0,,,1,1,0,1,0,1,0,0,0,0,,0,0,0,,,1,0,0,0,0,0,0,0,,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,,,0,0,,0,,0,,,,,,,,,,,
139,2022,1,1,0,,,0,0,0,1,0,1,1,,1,,,,,1,0,,0,,1,,1,1,1,1,1,1-2 years,,1,,0,,,,,1,,0,1,0,,,1,0,0,0,,1,1,1,,,,,1,0,Less than a year,1,0,0,,1,1,0,,,1,3-4 years,0,1,1,0,0,0,0,0,,1,1,0,,,1,0,1,0,0,0,0,0,,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,,,0,0,,0,,0,,,,,,,,,,,
382,2022,0,1,3-4 years,,,1,0,0,1,1,1,1,,0,,,,,1,1,,0,,1,,1,1,1,1,1,3-4 years,,0,,1,,,,,1,,1,0,1,,,1,0,1,0,,3-4 years,1,,,,,,1,0,1,1,0,1,,3-4 years,1,1,,,3-4 years,1,0,1,1,0,1,0,0,0,,0,0,0,,,1,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,,,0,0,,0,,1,,,,,,,,,,,
319,2022,1,1-2 years,1,,,1,0,0,1,0,1,1,,1,,,,,1,0,,0,,0,,1,0,0,0,1,3-4 years,,1,,0,,,,,0,,0,0,0,,,3-4 years,0,0,0,,0,0,,,,,,3-4 years,0,1,0,0,0,,0,1,0,,,1,1,0,1,0,1,0,1,0,1,,0,0,0,,,1,0,0,0,0,0,0,0,,0,0,0,3-4 years,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,,0,,0,,,,,,,,,,,
140,2022,1,0,1,,,1,1,1,1,0,1,1,,1,,,,,1,1,,0,,0,,0,1,1,1,1,1,,1,,1,,,,,1,,0,1,1,,,1,0,1,1,,1,1,1,,,,,1,0,1,1,0,1,,0,1,0,1,,1,0,0,1,1,1,0,1,0,1,,1,1,1,,,1,0,1,0,0,0,0,0,,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,,,0,0,,0,,0,1,,,,,,,,,,
452,2022,1,1,1,,,0,0,0,1,0,1,1,,1,,,,,0,1,,0,,0,,1,0,1,0,0,1,,1,,0,,,,,0,,0,0,1,,,1-2 years,0,0,1,,0,1,1,,,,,0,0,1-2 years,0,0,0,,0,1,1,1,,1,1,0,1,1,1,1,1,0,0,,1,1,0,,,0,0,1,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,,,0,0,,0,,0,1,,,,,,,,,,
141,2022,1,1,1,,,1,0,0,1,1,1,1,,0,,,,,1,1,,0,,1,1,1,1,0,1,1,1,,1,,1,,,,,1,,1,1,0,,,1,0,0,0,,1,1,,,,,,0,0,1,1,0,1,,1,1,0,1,,1,0,0,1,0,1,0,1,0,0,,1,1,0,,,1,0,1,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,,0,0,,3-4 years,,1,1,,,,,,,,,,
323,2022,1,1-2 years,0,,,1,1,0,1,0,1,1,,1,,,,,0,0,,0,,0,1,1,0,0,1,1,1,,1,,1,,,,,1,,1,1,0,,,0,0,0,0,,0,0,1,,,,,0,0,0,0,0,1,,0,1,1,,,1,1,0,1,0,1,0,0,0,0,,0,1,0,,,1,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,,,0,0,,1,1,1,,,,,,,,,,,
